Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,src/Fop.csproj,File,src/Fop.csproj,,,System.Linq.Dynamic.Core 1.2.24,,,,,"System.Linq.Dynamic.Core, 1.2.24  Recommendation:  System.Linq.Dynamic.Core, 1.7.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src/Fop.csproj,File,src/Fop.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,test/Fop.Tests/Fop.Tests.csproj,File,test/Fop.Tests/Fop.Tests.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,sample/Sample.Api/Sample.Api.csproj,File,sample/Sample.Api/Sample.Api.csproj,,,Microsoft.AspNetCore.Mvc.NewtonsoftJson 3.1.3,,,,,"Microsoft.AspNetCore.Mvc.NewtonsoftJson, 3.1.3  Recommendation:  Remove Microsoft.AspNetCore.Mvc.NewtonsoftJson, and replace with new package Microsoft.AspNetCore.Mvc.NewtonsoftJson 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,sample/Sample.Api/Sample.Api.csproj,File,sample/Sample.Api/Sample.Api.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 3.1.2,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 3.1.2  Recommendation:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,sample/Sample.Api/Sample.Api.csproj,File,sample/Sample.Api/Sample.Api.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,sample/Sample.Data/Sample.Data.csproj,File,sample/Sample.Data/Sample.Data.csproj,,,Microsoft.EntityFrameworkCore 3.1.3,,,,,"Microsoft.EntityFrameworkCore, 3.1.3  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,sample/Sample.Data/Sample.Data.csproj,File,sample/Sample.Data/Sample.Data.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 3.1.3,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 3.1.3  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,sample/Sample.Data/Sample.Data.csproj,File,sample/Sample.Data/Sample.Data.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,sample/Sample.Entity/Sample.Entity.csproj,File,sample/Sample.Entity/Sample.Entity.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,sample/Sample.Service/Sample.Repository.csproj,File,sample/Sample.Service/Sample.Repository.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
